사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,위반내용,전화번호,대표자명,환경오염위반유형구분명,데이터기준일자,제공기관코드,제공기관명
피에이치지주식회사,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로51길 11,대구광역시 달성군 논공읍 북리 1-35,35.734099,128.460345,대기환경보전법 제39조제1항에 따른 자가측정을 위반한 다음과 같은 경우-자가측정을 하지 아니하거나 자가측정 횟수가 적정하지 아니한 경우,053-610-8813,,대기,2026-06-24,3480000,대구광역시 달성군
일신프라스틱(주),대구광역시,달성군,대구광역시 달성군 구지면 국가산단북로 80,대구광역시 달성군 구지면 화산리 1097-3,35.662823,128.399652,대기환경보전법 제31조제1항을 위반하여 다음과 같은 행위를 하는 경우-배출시설 가동 시에 방지시설을 가동하지 아니하거나 오염도를 낮추기 위하여 배출시설에서 배출되는 대기오염물질에,053-615-5111,,대기,2026-06-24,3480000,대구광역시 달성군
대동금속(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로 602,대구광역시 달성군 논공읍 본리리 29-18,35.738131,128.457543,대기환경보전법 제23조제2항 또는 대기환경보전법 제23조제3항을 위반하여 변경신고를 하지 아니한 경우,053-610-5072,,대기,2026-06-24,3480000,대구광역시 달성군
우창산업,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로264길 90,대구광역시 달성군 논공읍 상리 745-7,35.752718,128.410017,대기환경보전법 제31조제2항에 따른 배출시설 및 방지시설의 운영에 관한 관리기록을 거짓으로 기재하였거나 보존·비치하지 아니한 경우,053-617-9588,,대기,2026-06-24,3480000,대구광역시 달성군
한미수지,대구광역시,달성군,대구광역시 달성군 하빈면 묘동1길 59,대구광역시 달성군 하빈면 묘리 1025-29,35.891888,128.420586,대기환경보전법 제30조에 따른 가동개시신고를 하지 아니하고 조업하는 경우,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
한미ADM(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로69길 80,대구광역시 달성군 논공읍 본리리 29-71,35.740604,128.471741,대기환경보전법 제23조제2항 또는 대기환경보전법 제23조제3항을 위반하여 변경신고를 하지 아니한 경우,053-615-0050,,대기,2026-06-24,3480000,대구광역시 달성군
한국수지,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로387길 26,대구광역시 달성군 옥포읍 강림리 471-6,35.782989,128.432803,대기환경보전법 제31조제2항에 따른 배출시설 및 방지시설의 운영에 관한 관리기록을 거짓으로 기재하였거나 보존·비치하지 아니한 경우,053-631-0898,,대기,2026-06-24,3480000,대구광역시 달성군
(주)상아뉴매틱,대구광역시,달성군,대구광역시 달성군 다사읍 세천로3길 36,대구광역시 달성군 다사읍 세천리 1674-12,35.874246,128.46716,대기환경보전법 제39조제1항에 따른 자가측정을 위반한 다음과 같은 경우-자가측정을 하지 아니하거나 자가측정 횟수가 적정하지 아니한 경우,053-583-5200,,대기,2026-06-24,3480000,대구광역시 달성군
에스에스엘엠(주),대구광역시,달성군,대구광역시 달성군 다사읍 세천로2길 1,,35.868444,128.471854,폐수배출시설 변경신고 미이행,053-607-8460,,수질,2026-06-24,3480000,대구광역시 달성군
(주)미주테크,대구광역시,달성군,대구광역시 달성군 다사읍 세천로3길 57,,35.875652,128.465648,폐수배출시설 변경신고 미이행,053-582-3097,,수질,2026-06-24,3480000,대구광역시 달성군
(주)신도,대구광역시,달성군,대구광역시 달성군 구지면 국가산단대로39길 164,,35.655158,128.405212,폐수배출시설 변경신고 미이행,053-582-6350,,수질,2026-06-24,3480000,대구광역시 달성군
한국에스케이에프씰(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로45길 40,,35.736158,128.458466,폐수배출시설 변경신고 미이행,053-615-1001,,수질,2026-06-24,3480000,대구광역시 달성군
우성정공,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 35-10,,35.747545,128.412834,폐수배출시설 변경신고 미이행,053-615-7206,,수질,2026-06-24,3480000,대구광역시 달성군
(주)진양오일씰,대구광역시,달성군,대구광역시 달성군 다사읍 세천로7길 17-24,,35.874578,128.468026,배출시설 및 방지시설 부적정 운영,053-585-9834,,수질,2026-06-24,3480000,대구광역시 달성군
우강정밀(주),대구광역시,달성군,대구광역시 달성군 구지면 달성2차서로 84-25,,35.640639,128.410667,폐수배출시설 변경신고 미이행,053-615-3080,,수질,2026-06-24,3480000,대구광역시 달성군
한들식품,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 91-18,,35.751647,128.417496,배출허용기준 초과,053-312-7626,,수질,2026-06-24,3480000,대구광역시 달성군
상은섬유,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로 232,,35.732192,128.460119,폐수배출시설 운영일지 미기록,053-616-4096,,수질,2026-06-24,3480000,대구광역시 달성군
합자회사 명신,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로52길 40,,35.730453,128.462989,폐수배출시설 변경신고 미이행,053-614-1819,,수질,2026-06-24,3480000,대구광역시 달성군
평화산업(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로 597,,35.7382,128.460183,폐수배출시설 변경신고 미이행,053-610-7000,,수질,2026-06-24,3480000,대구광역시 달성군
합자회사 명신,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로52길 40,,35.730453,128.462989,방지시설 설치면제자 준수사항 위반,053-614-1819,,수질,2026-06-24,3480000,대구광역시 달성군
(주)오토크로바,대구광역시,달성군,대구광역시 달성군 논공읍 논공로 334,,35.729309,128.461841,폐수배출시설 변경신고 미이행,053-614-0090,,수질,2026-06-24,3480000,대구광역시 달성군
대성모터스,대구광역시,달성군,대구광역시 달성군 논공읍 논공로23길 14-20,,35.730941,128.446979,폐수배출시설 변경신고 미이행,053-000-0000,,수질,2026-06-24,3480000,대구광역시 달성군
엠에스금속,대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 76,,35.731024,128.471789,폐수배출시설 운영일지 미기록,070-8977-6612,,수질,2026-06-24,3480000,대구광역시 달성군
(주)푸름원,대구광역시,달성군,대구광역시 달성군 구지면 달성2차로 27,,35.640185,128.409593,폐수배출시설 운영일지 미기록,053-611-9611,,수질,2026-06-24,3480000,대구광역시 달성군
(주)오토크로바,대구광역시,달성군,대구광역시 달성군 논공읍 논공로 334,,35.729309,128.461841,배출허용기준 초과,053-614-0090,,수질,2026-06-24,3480000,대구광역시 달성군
(주)아진피앤피,대구광역시,달성군,대구광역시 달성군 현풍읍 국가산단북로100길 40,,35.668116,128.443185,환경기술인 교육 미이수,053-611-1121,,수질,2026-06-24,3480000,대구광역시 달성군
금강금속,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로52길 29,,35.73146,128.46427,폐수배출시설 변경신고 미이행,053-614-1592,,수질,2026-06-24,3480000,대구광역시 달성군
환희기업(주) 달성지점,대구광역시,달성군,대구광역시 달성군 하빈면 하빈남로 372-14,대구광역시 달성군 하빈면 봉촌리 925,35.862326,128.395903,대기환경보전법 제23조에 따라 배출시설설치허가(변경허가를 포함한다)를 받지 아니하거나 신고를 하지 아니하고 배출시설을 설치한 경우-해당지역이 배출시설의 설치가 가능한 지역인 경우,053-593-3990,,대기,2026-06-24,3480000,대구광역시 달성군
한미ADM(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로69길 80,대구광역시 달성군 논공읍 본리리 29-71,35.740604,128.471741,대기환경보전법 제31조제2항에 따른 배출시설 및 방지시설의 운영에 관한 관리기록을 거짓으로 기재하였거나 보존·비치하지 아니한 경우,053-615-0050,,대기,2026-06-24,3480000,대구광역시 달성군
상신브레이크(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로33길 10,대구광역시 달성군 논공읍 북리 1-37,35.731309,128.453945,대기환경보전법 제31조제1항을 위반하여 다음과 같은 행위를 하는 경우-방지시설에 딸린 기계·기구류(예비용을 포함한다)의 고장 또는 훼손을 정당한 사유 없이 방치하는 행위,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
케이비아이메탈(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 88,대구광역시 달성군 논공읍 본리리 103-31,35.730587,128.469675,대기환경보전법 제31조제1항을 위반하여 다음과 같은 행위를 하는 경우-방지시설에 딸린 기계·기구류(예비용을 포함한다)의 고장 또는 훼손을 정당한 사유 없이 방치하는 행위,053-610-5600,,대기,2026-06-24,3480000,대구광역시 달성군
비슬산참숯굴찜질방,대구광역시,달성군,대구광역시 달성군 옥포읍 반송길 195,대구광역시 달성군 옥포읍 반송리 830,35.742351,128.50567,대기환경보전법 제23조에 따라 배출시설설치허가(변경허가를 포함한다)를 받지 아니하거나 신고를 하지 아니하고 배출시설을 설치한 경우-해당지역이 배출시설의 설치가 가능한 지역인 경우,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
평화산업(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로 597,대구광역시 달성군 논공읍 본리리 29-17,35.7382,128.460183,대기환경보전법 제23조제2항 또는 대기환경보전법 제23조제3항을 위반하여 변경신고를 하지 아니한 경우,053-610-7000,,대기,2026-06-24,3480000,대구광역시 달성군
세천정비모터스,대구광역시,달성군,대구광역시 달성군 다사읍 세천로21길 3,대구광역시 달성군 다사읍 세천리 1679-4,35.874127,128.47275,대기환경보전법 제39조제1항에 따른 자가측정을 위반한 다음과 같은 경우-자가측정을 하지 아니하거나 자가측정 횟수가 적정하지 아니한 경우,053-592-7788,,대기,2026-06-24,3480000,대구광역시 달성군
오성그라비아,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 2309-6 한도피엠피,대구광역시 달성군 옥포읍 간경리 640 한도피엠피,35.791701,128.47348,대기환경보전법 제23조에 따라 배출시설설치허가(변경허가를 포함한다)를 받지 아니하거나 신고를 하지 아니하고 배출시설을 설치한 경우-해당지역이 배출시설의 설치가 가능한 지역인 경우,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
㈜유진,전라남도,여수시,전라남도 여수시 망양로 514-16,전라남도 여수시 오천동 176-2,34.7911848454,127.754089,대기환경보전법 제31조(배출시설과 방지시설의 운영) 의 2항,061-651-9211,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
이일산업㈜,전라남도,여수시,전라남도 여수시 삼동로 27-9,전라남도 여수시 주삼동 637,34.8001441269,127.653371,대기환경보전법 제16조(배출허용기준),061-808-2161,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
㈜이서에너지,전라남도,여수시,,전라남도 여수시 낙포동 863-1,34.842392431,127.7464962427,대기환경보전법 제31조(배출시설과 방지시설의 운영) 의 1항,061-000-0000,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
㈜하이텍컴,전라남도,여수시,전라남도 여수시 산단중앙로 109-13,전라남도 여수시 화치동 1442,34.8290353266,127.647977248,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-692-2355,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
(재)한국건설생활환경시험연구원,전라남도,여수시,전라남도 여수시 여수산단로 137,전라남도 여수시 주삼동 1031-2,34.796421,127.661425,대기환경보전법 제39조(자가측정) 의 1항,061-807-6213,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
여수자원순환협동조합,전라남도,여수시,전라남도 여수시 여수산단1로 176,전라남도 여수시 화치동 1163-32,34.819233,127.640673,대기환경보전법 제39조(자가측정) 의 1항,061-684-3722,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
삼양화학실업㈜,전라남도,여수시,전라남도 여수시 산단중앙로 20,전라남도 여수시 화치동 1319,34.8220243931,127.6424396,대기환경보전법 제39조(자가측정) 의 1항,061-686-7307,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
에스엠테크㈜,전라남도,여수시,,전라남도 여수시 중흥동 1055,34.835419,127.697846,대기환경보전법 제16조(배출허용기준),061-807-2288,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
용진공업,대구광역시,달성군,대구광역시 달성군 하빈면 하빈남로 372-7,,35.861941,128.394719,배출시설 설치 제한지역 내 폐수배출시설 설치·조업,053-581-8424,,수질,2026-06-24,3480000,대구광역시 달성군
금화섬유,대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 58,,35.731977,128.471324,환경기술인 교육 미이수,053-611-6100,,수질,2026-06-24,3480000,대구광역시 달성군
(주)가온아이비,대구광역시,달성군,대구광역시 달성군 구지면 달성2차서로 84-13,,35.640564,128.41183,폐수배출시설 운영일지 미기록,053-716-1030,,수질,2026-06-24,3480000,대구광역시 달성군
일광수지,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로331길 27,,35.770191,128.406279,폐수배출시설 운영일지 미기록,053-616-0850,,수질,2026-06-24,3480000,대구광역시 달성군
(주)마이폴리머,대구광역시,달성군,대구광역시 달성군 구지면 달성2차동1로 183,,35.642371,128.426156,폐수배출시설 변경신고 미이행,053-617-1688,,수질,2026-06-24,3480000,대구광역시 달성군
대한소결금속(주) 가공2공장,대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 34,,35.733167,128.471659,폐수배출시설 변경신고 미이행,053-610-0781,,수질,2026-06-24,3480000,대구광역시 달성군
대한소결금속(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 43,,35.734612,128.473735,폐수배출시설 변경신고 미이행,053-610-0700,,수질,2026-06-24,3480000,대구광역시 달성군
주식회사 유림테크 구지2공장,대구광역시,달성군,대구광역시 달성군 구지면 달성2차1로 79,,35.631666,128.427008,폐수배출시설 변경신고 미이행,000-000-0000,,수질,2026-06-24,3480000,대구광역시 달성군
(주)유림테크 구지공장,대구광역시,달성군,대구광역시 달성군 구지면 달성2차2로 91,,35.634444,128.427486,폐수배출시설 변경신고 미이행,070-4457-8383,,수질,2026-06-24,3480000,대구광역시 달성군
평화산업(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공로 597,,35.7382,128.460183,미신고 폐수배출시설 설치 및 운영,053-610-7000,,수질,2026-06-24,3480000,대구광역시 달성군
(주)디에이치지,대구광역시,달성군,대구광역시 달성군 구지면 달성2차4로 42,,35.637018,128.422285,폐수배출시설 변경신고 미이행,053-263-0002,,수질,2026-06-24,3480000,대구광역시 달성군
상신브레이크(주),대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로33길 10,,35.731309,128.453945,폐수배출시설 변경신고 미이행,053-610-8214,,수질,2026-06-24,3480000,대구광역시 달성군
(주)엔엘테크,대구광역시,달성군,대구광역시 달성군 논공읍 논공로91길 71-31,,35.734015,128.475472,폐수배출시설 운영일지 미기록,053-614-0560,,수질,2026-06-24,3480000,대구광역시 달성군
한유산업,대구광역시,달성군,대구광역시 달성군 하빈면 묘동1길 59,,35.891888,128.420586,미신고 폐수배출시설 설치 및 운영,000-000-0000,,수질,2026-06-24,3480000,대구광역시 달성군
주식회사 브이제이케미칼,대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 110,,35.730509,128.467265,방지시설 설치면제자 준수사항 위반,000-000-0000,,수질,2026-06-24,3480000,대구광역시 달성군
주식회사 브이제이케미칼,대구광역시,달성군,대구광역시 달성군 논공읍 논공로87길 110,,35.730509,128.467265,폐수배출시설 변경신고 미이행,000-000-0000,,수질,2026-06-24,3480000,대구광역시 달성군
(주)푸르밀,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로 350,,35.738903,128.46964,폐수배출시설 변경신고 미이행,053-614-8488,,수질,2026-06-24,3480000,대구광역시 달성군
삼화테크,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 59-22,,35.750061,128.413872,폐수배출시설 운영일지 미기록,053-582-0791,,수질,2026-06-24,3480000,대구광역시 달성군
아이에스테크,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로264길 37,,35.7477,128.410292,미신고 폐수배출시설 설치 및 운영,053-615-9117,,수질,2026-06-24,3480000,대구광역시 달성군
태광제과,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 83,,35.749797,128.416564,폐수배출시설 운영일지 미기록,053-615-7308,,수질,2026-06-24,3480000,대구광역시 달성군
성만산업,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 33-12,,35.747061,128.411699,폐수배출시설 운영일지 미기록,053-615-9633,,수질,2026-06-24,3480000,대구광역시 달성군
성만산업,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로262길 33-12,,35.747061,128.411699,폐수배출시설 변경신고 미이행,053-615-9633,,수질,2026-06-24,3480000,대구광역시 달성군
(주)평화이엔지,대구광역시,달성군,대구광역시 달성군 논공읍 논공로 511,,35.740726,128.466528,폐수배출시설 변경신고 미이행,053-610-6200,,수질,2026-06-24,3480000,대구광역시 달성군
우주정밀,경상남도,진주시,경상남도 진주시 정촌면 연꽃로145번길 24,경상남도 진주시 정촌면 예하리 1246-8,35.11706325,128.1048214,변경사항 미이행,055-754-9860,강대석,수질,2026-05-28,5310000,경상남도 진주시
동이정공,경상남도,진주시,경상남도 진주시 정촌면 연꽃로145번길 25,경상남도 진주시 정촌면 예하리 1247-5,35.11636207,128.105578,변경사항 미이행,055-758-0356,정대환,수질,2026-05-28,5310000,경상남도 진주시
광내는엉클,경상남도,진주시,경상남도 진주시 석갑로125번길 6-11,경상남도 진주시 신안동 392-17,35.1820279,128.0623416,배출허용기준 초과(TOC),055-000-0000,양범규,수질,2026-05-28,5310000,경상남도 진주시
㈜신용에너지,경상남도,진주시,경상남도 진주시 문산읍 동부로 334,경상남도 진주시 문산읍 옥산리 952-8,35.16066291,128.139891,배출허용기준 초과(SS),055-761-2501,조재훈,수질,2026-05-28,5310000,경상남도 진주시
㈜알지환경기술,경상남도,진주시,경상남도 진주시 진성면 진마대로 1277,경상남도 진주시 진성면 상촌리 576,35.17676762,128.2175648,자가측정 미이행,055-000-0000,,대기,2026-05-28,5310000,경상남도 진주시
정기산업,경상남도,진주시,경상남도 진주시 남강로 1183,경상남도 진주시 상평동 302-15,35.16952084,128.1212971,환경기술인 교육 미이수,055-000-0000,오보성,수질,2026-05-28,5310000,경상남도 진주시
주현공업,경상남도,진주시,경상남도 진주시 이반성면 진마대로2498번길 9-27,경상남도 진주시 이반성면 길성리 941,35.14616201,128.3248814,환경기술인 교육 미이수,055-759-6328,이동석,대기,2026-05-28,5310000,경상남도 진주시
금광정밀,경상남도,진주시,경상남도 진주시 도동로88번길 17,경상남도 진주시 상대동 33-71,35.17825933,128.1246957,환경기술인 교육 미이수,055-755-5625,김한중,수질,2026-05-28,5310000,경상남도 진주시
현대이엔지,경상남도,진주시,경상남도 진주시 사봉면 산업단지로 71,경상남도 진주시 사봉면 사곡리 1806-6,35.18941309,128.2780659,환경기술인 교육 미이수,055-755-7301,,수질,2026-05-28,5310000,경상남도 진주시
대림산업,경상남도,진주시,경상남도 진주시 사봉면 산업단지로 142,경상남도 진주시 사봉면 사곡리 1850-6,35.18634258,128.2840668,배출허용기준 초과(THC),055-763-7842,정성기,대기,2026-05-28,5310000,경상남도 진주시
㈜대신하우징,부산광역시,부산진구,,부산광역시 부산진구 전포동 903,35.1581055,129.0689433,비산먼지 발생 억제조치(저감설비 미부착) 미이행,055-313-0488,강미진,대기,2026-06-18,3290000,부산광역시 부산진구
광신석유㈜ 양정주유소,부산광역시,부산진구,,부산광역시 부산진구 양정동 508-6,35.1751045,129.0645228,유증기회수설비 정기검사 부적합,000-0000-0000,대표이사,대기,2026-06-18,3290000,부산광역시 부산진구
㈜아이에스피케미칼(남부산고속주유소),부산광역시,부산진구,,부산광역시 부산진구 양정동 281,35.1760653,129.0680004,유증기회수설비 정기검사 부적합,000-0000-0000,조영준,대기,2026-06-18,3290000,부산광역시 부산진구
㈜OS에너지 가야주유소,부산광역시,부산진구,,부산광역시 부산진구 가야동 200-1,35.1522897,129.0329398,유증기회수설비 정기검사 부적합,051-896-6300,대표이사,대기,2026-06-18,3290000,부산광역시 부산진구
㈜우양 네트웍스 하마정주유소,부산광역시,부산진구,,부산광역시 부산진구 양정동 386-8,35.1740914,129.0683879,유증기회수설비 정기검사 부적합,051-861-5104,조영준,대기,2026-06-18,3290000,부산광역시 부산진구
희민건설㈜,부산광역시,부산진구,,부산광역시 부산진구 개금동 1-7,35.1628045,129.0259623,비산먼지 신고 미이행,051-627-5233,"정재도, 김원식",대기,2026-06-18,3290000,부산광역시 부산진구
대흥주유소,부산광역시,부산진구,,부산광역시 부산진구 당감동 613-8,35.1647618,129.0317616,유증기회수설비 정기검사 부적합,000-0000-0000,임훈희,대기,2026-06-18,3290000,부산광역시 부산진구
㈜우창 아이앤디 서면점,부산광역시,부산진구,,부산광역시 부산진구 부전동 155-1,35.1574974,129.0604573,"대기배출시설 변경신고 미이행(사업장 명칭, 대표자)",000-0000-0000,김재엽,대기,2026-06-18,3290000,부산광역시 부산진구
부산기연 유한회사,부산광역시,부산진구,,부산광역시 부산진구 부암동 610-88,35.1736478,129.0343211,비산먼지 변경신고 미이행비산먼지 발생 억제조치(세륜) 미이행,051-531-1782,윤상원,대기,2026-06-18,3290000,부산광역시 부산진구
서울척병원,서울특별시,성북구,서울특별시 성북구 동소문로47길 8,서울특별시 성북구 길음동 21-72,37.60886057,127.02927,폐수배출시설 변경신고 미이행,02-940-2188,,수질,2026-06-24,3070000,서울특별시 성북구
㈜케이엔글로벌,전라남도,여수시,,전라남도 여수시 묘도동 2016,34.879391,127.740989,물환경보전법 제32조(배출허옹기준),061-000-0000,,수질,2026-06-19,5785000,전남광주통합특별시 여수시
남도꼬막㈜어업회사법인,전라남도,여수시,전라남도 여수시 율촌면 모래목길 90-44,전라남도 여수시 율촌면 조화리 786-1,34.8775722486,127.5881067547,물환경보전법 제38조(배출시설 및 방지시설의 운영)의 1항,061-685-0305,,수질,2026-06-19,5785000,전남광주통합특별시 여수시
㈜엠에스,전라남도,여수시,전라남도 여수시 화양면 화양로 1121-19,전라남도 여수시 화양면 화동리 2137,34.6906499276,127.6038425694,물환경보전법 제38조(배출시설 및 방지시설의 운영)의 3항,061-692-3565,,수질,2026-06-19,5785000,전남광주통합특별시 여수시
디아이지에어가스㈜,전라남도,여수시,,전라남도 여수시 중흥동 1445-1,34.8482458904,127.6992820254,물환경보전법 제32조(배출허옹기준),061-680-0032,,수질,2026-06-19,5785000,전남광주통합특별시 여수시
닛소남해아그로㈜,전라남도,여수시,전라남도 여수시 여수산단로 1384,전라남도 여수시 낙포동 323,34.8486219217,127.7482620129,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-900-3530,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
피케이씨㈜여수공장,전라남도,여수시,전라남도 여수시 산단중앙로 176,전라남도 여수시 화치동 1345,34.8265069853,127.6533099427,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-680-0600,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
해동이앤티,전라남도,여수시,전라남도 여수시 여수산단1로 306,전라남도 여수시 화치동 1377,34.8291654538,127.6434491667,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-685-1525,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
퓨리오젠 주식회사,전라남도,여수시,전라남도 여수시 여수산단로 223,,34.8031949489,127.6641205274,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-685-5550,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
아이씨케미칼,전라남도,여수시,전라남도 여수시 여수산단4로 80,전라남도 여수시 중흥동 904-12,34.831293,127.6771517252,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-685-6717,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
㈜와이티씨,전라남도,여수시,전라남도 여수시 여수산단로 292-20,전라남도 여수시 월하동 815-3,34.8061617484,127.672806,대기환경보전법 제23조(배출시설의 허가 및 신고)의 2항,061-684-7077,,대기,2026-06-19,5785000,전남광주통합특별시 여수시
